date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:10	2790/2790	---M--	200	added ('OK')	image/jpeg	etag:%225a04a2d9=ae6%22	http://old.nordicosenadopcion.com/sites/default/files/styles/thumbnail/public/noticias/Calendario%20N%c3%b3rdicos%20con%20arandelas.jpg	old.nordicosenadopcion.com/sites/default/files/styles/thumbnail/public/noticias/Calendario%20N%c3%b3rdicos%20con%20arandelas.jpg	(from http://old.nordicosenadopcion.com/)
11:31:13	27485/27485	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:32%20+0000	http://old.nordicosenadopcion.com/noticia/regala-solidaridad-para-este-2018	old.nordicosenadopcion.com/noticia/regala-solidaridad-para-este-2018.html	(from http://old.nordicosenadopcion.com/)
11:31:13	14422/14422	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:44%20+0000	http://old.nordicosenadopcion.com/user/password	old.nordicosenadopcion.com/user/password.html	(from http://old.nordicosenadopcion.com/)
11:31:17	14478/14478	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:13%20+0000	http://old.nordicosenadopcion.com/node/themes/nea_bartik/js/jcarousellite/arrow_left.png	old.nordicosenadopcion.com/node/themes/nea_bartik/js/jcarousellite/arrow_left.png	(from http://old.nordicosenadopcion.com/node/1)
11:31:21	14482/14482	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:17%20+0000	http://old.nordicosenadopcion.com/node/themes/nea_bartik/js/jcarousellite/arrow_right.png	old.nordicosenadopcion.com/node/themes/nea_bartik/js/jcarousellite/arrow_right.png	(from http://old.nordicosenadopcion.com/node/1)
11:31:25	14205/14205	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:21%20+0000	http://old.nordicosenadopcion.com/node/pattern.gif	old.nordicosenadopcion.com/node/pattern.gif	(from http://old.nordicosenadopcion.com/node/1)
11:31:29	14198/14198	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:25%20+0000	http://old.nordicosenadopcion.com/node/cachorros	old.nordicosenadopcion.com/node/cachorros	(from http://old.nordicosenadopcion.com/node/1)
11:31:35	14191/14191	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:29%20+0000	http://old.nordicosenadopcion.com/node/jovenes	old.nordicosenadopcion.com/node/jovenes	(from http://old.nordicosenadopcion.com/node/1)
11:31:41	14191/14191	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:35%20+0000	http://old.nordicosenadopcion.com/node/adultos	old.nordicosenadopcion.com/node/adultos	(from http://old.nordicosenadopcion.com/node/1)
11:31:51	14198/14198	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:45%20+0000	http://old.nordicosenadopcion.com/node/adoptados	old.nordicosenadopcion.com/node/adoptados	(from http://old.nordicosenadopcion.com/node/1)
11:31:57	14194/14194	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:51%20+0000	http://old.nordicosenadopcion.com/node/arcoiris	old.nordicosenadopcion.com/node/arcoiris	(from http://old.nordicosenadopcion.com/node/1)
11:32:01	420163/420163	---M--	200	added ('OK')	image/png	etag:%224d6116a5=66943%22	http://old.nordicosenadopcion.com/sites/default/files/pictures/map.png	old.nordicosenadopcion.com/sites/default/files/pictures/map.png	(from http://old.nordicosenadopcion.com/)
11:32:01	14414/14414	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:31:57%20+0000	http://old.nordicosenadopcion.com/node/sites/default/files/pictures/map.png	old.nordicosenadopcion.com/node/sites/default/files/pictures/map.png	(from http://old.nordicosenadopcion.com/node/1)
11:32:05	14438/14438	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2009:32:01%20+0000	http://old.nordicosenadopcion.com/node/sites/default/files/pictures/map-hover.png	old.nordicosenadopcion.com/node/sites/default/files/pictures/map-hover.png	(from http://old.nordicosenadopcion.com/node/1)
11:32:07	427112/427112	---M--	200	added ('OK')	image/png	etag:%224d61139d=68468%22	http://old.nordicosenadopcion.com/sites/default/files/pictures/map-hover.png	old.nordicosenadopcion.com/sites/default/files/pictures/map-hover.png	(from http://old.nordicosenadopcion.com/)
11:32:07	1336/1336	---M--	200	added ('OK')	image/gif	etag:%224d3351e2=538%22	http://old.nordicosenadopcion.com/misc/throbber.gif	old.nordicosenadopcion.com/misc/throbber.gif	(from http://old.nordicosenadopcion.com/sites/default/files/css/css_5XB5aQOGzDUVxnwtHDXg0AJDjmjZbe2Sh1K2BEkR5cM.css)
